#VAL196-0  Hist_02086
     -180 0.000046000
     -174 0.000634000
     -168 0.005162000
     -162 0.023396000
     -156 0.067492000
     -150 0.133428000
     -144 0.185906000
     -138 0.194172000
     -132 0.154466000
     -126 0.099704000
     -120 0.058094000
     -114 0.032184000
     -108 0.017808000
     -102 0.010516000
      -96 0.006452000
      -90 0.004238000
      -84 0.002874000
      -78 0.001800000
      -72 0.000912000
      -66 0.000486000
      -60 0.000162000
      -54 0.000050000
      -48 0.000016000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000002000
