#ILE3-4   Hist_00036
    -180 0.111374000
    -174 0.075350000
    -168 0.038130000
    -162 0.014506000
    -156 0.004262000
    -150 0.000914000
    -144 0.000210000
    -138 0.000052000
    -132 0.000024000
    -126 0.000002000
    -120 0.000004000
    -114 0.000024000
    -108 0.000038000
    -102 0.000122000
     -96 0.000316000
     -90 0.000846000
     -84 0.002910000
     -78 0.008762000
     -72 0.016704000
     -66 0.016944000
     -60 0.009972000
     -54 0.003312000
     -48 0.000774000
     -42 0.000124000
     -36 0.000020000
     -30 0.000002000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000002000
      24 0.000002000
      30 0.000000000
      36 0.000006000
      42 0.000018000
      48 0.000074000
      54 0.000142000
      60 0.000266000
      66 0.000548000
      72 0.001032000
      78 0.002276000
      84 0.005106000
      90 0.009384000
      96 0.011482000
     102 0.010262000
     108 0.007542000
     114 0.005714000
     120 0.005140000
     126 0.006302000
     132 0.009898000
     138 0.018646000
     144 0.036440000
     150 0.065096000
     156 0.100126000
     162 0.126548000
     168 0.138074000
     174 0.134176000
