#HIE172-3  Hist_01832
     -180 0.036356000
     -174 0.033224000
     -168 0.023086000
     -162 0.012106000
     -156 0.004996000
     -150 0.001860000
     -144 0.000646000
     -138 0.000294000
     -132 0.000134000
     -126 0.000116000
     -120 0.000078000
     -114 0.000194000
     -108 0.000612000
     -102 0.002274000
      -96 0.008832000
      -90 0.031390000
      -84 0.088592000
      -78 0.174762000
      -72 0.221298000
      -66 0.170694000
      -60 0.079264000
      -54 0.024306000
      -48 0.005054000
      -42 0.000820000
      -36 0.000102000
      -30 0.000010000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000004000
       54 0.000028000
       60 0.000066000
       66 0.000164000
       72 0.000276000
       78 0.000350000
       84 0.000256000
       90 0.000144000
       96 0.000036000
      102 0.000024000
      108 0.000038000
      114 0.000020000
      120 0.000060000
      126 0.000108000
      132 0.000246000
      138 0.000676000
      144 0.001460000
      150 0.002802000
      156 0.006048000
      162 0.012320000
      168 0.022214000
      174 0.031560000
