#ASP84-3  Hist_00876
    -180 0.106440000
    -174 0.039724000
    -168 0.010892000
    -162 0.002310000
    -156 0.000392000
    -150 0.000054000
    -144 0.000002000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000002000
      54 0.000010000
      60 0.000040000
      66 0.000088000
      72 0.000166000
      78 0.000144000
      84 0.000190000
      90 0.000100000
      96 0.000052000
     102 0.000046000
     108 0.000018000
     114 0.000040000
     120 0.000062000
     126 0.000206000
     132 0.000900000
     138 0.003424000
     144 0.014044000
     150 0.046366000
     156 0.117304000
     162 0.208858000
     168 0.250394000
     174 0.197732000
