#ILE3-3   Hist_00034
    -180 0.020518000
    -174 0.013266000
    -168 0.005166000
    -162 0.001300000
    -156 0.000262000
    -150 0.000044000
    -144 0.000014000
    -138 0.000002000
    -132 0.000004000
    -126 0.000004000
    -120 0.000004000
    -114 0.000018000
    -108 0.000060000
    -102 0.000230000
     -96 0.000980000
     -90 0.004702000
     -84 0.019774000
     -78 0.062074000
     -72 0.138592000
     -66 0.210464000
     -60 0.215874000
     -54 0.151524000
     -48 0.075826000
     -42 0.029146000
     -36 0.008464000
     -30 0.002300000
     -24 0.000506000
     -18 0.000100000
     -12 0.000030000
      -6 0.000004000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000002000
      30 0.000000000
      36 0.000006000
      42 0.000032000
      48 0.000130000
      54 0.000284000
      60 0.000520000
      66 0.000672000
      72 0.000716000
      78 0.000468000
      84 0.000244000
      90 0.000088000
      96 0.000022000
     102 0.000006000
     108 0.000002000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000004000
     144 0.000028000
     150 0.000180000
     156 0.001084000
     162 0.004170000
     168 0.010912000
     174 0.019178000
