#ARG124-5  Hist_01298
     -180 0.155210000
     -174 0.076606000
     -168 0.031220000
     -162 0.015602000
     -156 0.007714000
     -150 0.003630000
     -144 0.001756000
     -138 0.000760000
     -132 0.000408000
     -126 0.000350000
     -120 0.000288000
     -114 0.000354000
     -108 0.000680000
     -102 0.001376000
      -96 0.003456000
      -90 0.008452000
      -84 0.018464000
      -78 0.031432000
      -72 0.038980000
      -66 0.033234000
      -60 0.020902000
      -54 0.009296000
      -48 0.003092000
      -42 0.000864000
      -36 0.000186000
      -30 0.000048000
      -24 0.000008000
      -18 0.000002000
      -12 0.000000000
       -6 0.000002000
        0 0.000002000
        6 0.000004000
       12 0.000000000
       18 0.000010000
       24 0.000028000
       30 0.000124000
       36 0.000554000
       42 0.002122000
       48 0.006762000
       54 0.017100000
       60 0.031610000
       66 0.041252000
       72 0.038578000
       78 0.025812000
       84 0.013618000
       90 0.005986000
       96 0.002490000
      102 0.001092000
      108 0.000586000
      114 0.000376000
      120 0.000354000
      126 0.000406000
      132 0.000640000
      138 0.001268000
      144 0.002826000
      150 0.006504000
      156 0.015296000
      162 0.041474000
      168 0.104288000
      174 0.174466000
