#VAL148-0  Hist_01550
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000008000
     -156 0.000036000
     -150 0.000212000
     -144 0.000872000
     -138 0.002632000
     -132 0.006560000
     -126 0.013894000
     -120 0.024964000
     -114 0.045458000
     -108 0.076190000
     -102 0.118096000
      -96 0.163360000
      -90 0.187662000
      -84 0.169062000
      -78 0.114242000
      -72 0.053924000
      -66 0.017756000
      -60 0.004272000
      -54 0.000714000
      -48 0.000070000
      -42 0.000014000
      -36 0.000002000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
