#ARG206-6  Hist_02196
     -180 0.092266000
     -174 0.081974000
     -168 0.064200000
     -162 0.046326000
     -156 0.031050000
     -150 0.021066000
     -144 0.014972000
     -138 0.011926000
     -132 0.010574000
     -126 0.010852000
     -120 0.011562000
     -114 0.012030000
     -108 0.011962000
     -102 0.010810000
      -96 0.009006000
      -90 0.006802000
      -84 0.004782000
      -78 0.003132000
      -72 0.001888000
      -66 0.001066000
      -60 0.000446000
      -54 0.000206000
      -48 0.000086000
      -42 0.000024000
      -36 0.000004000
      -30 0.000004000
      -24 0.000000000
      -18 0.000002000
      -12 0.000002000
       -6 0.000000000
        0 0.000000000
        6 0.000004000
       12 0.000000000
       18 0.000002000
       24 0.000002000
       30 0.000010000
       36 0.000074000
       42 0.000176000
       48 0.000420000
       54 0.000872000
       60 0.001572000
       66 0.002048000
       72 0.002882000
       78 0.003292000
       84 0.003620000
       90 0.004294000
       96 0.005258000
      102 0.006602000
      108 0.008806000
      114 0.011390000
      120 0.014990000
      126 0.019014000
      132 0.024166000
      138 0.029898000
      144 0.037964000
      150 0.047320000
      156 0.060052000
      162 0.074560000
      168 0.087224000
      174 0.094468000
