#LEU63-0  Hist_00644
    -180 0.000000000
    -174 0.000000000
    -168 0.000004000
    -162 0.000020000
    -156 0.000026000
    -150 0.000092000
    -144 0.000208000
    -138 0.000392000
    -132 0.000756000
    -126 0.001396000
    -120 0.003002000
    -114 0.006550000
    -108 0.014682000
    -102 0.033234000
     -96 0.071430000
     -90 0.132686000
     -84 0.201852000
     -78 0.225822000
     -72 0.176436000
     -66 0.091928000
     -60 0.031342000
     -54 0.006860000
     -48 0.001122000
     -42 0.000152000
     -36 0.000006000
     -30 0.000002000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
