#CYS77-3  Hist_00802
    -180 0.000670000
    -174 0.001380000
    -168 0.001708000
    -162 0.001512000
    -156 0.000900000
    -150 0.000454000
    -144 0.000192000
    -138 0.000112000
    -132 0.000058000
    -126 0.000046000
    -120 0.000040000
    -114 0.000114000
    -108 0.000246000
    -102 0.000836000
     -96 0.003404000
     -90 0.014432000
     -84 0.052506000
     -78 0.139394000
     -72 0.243128000
     -66 0.261566000
     -60 0.172954000
     -54 0.074466000
     -48 0.022600000
     -42 0.005220000
     -36 0.001112000
     -30 0.000212000
     -24 0.000064000
     -18 0.000006000
     -12 0.000006000
      -6 0.000000000
       0 0.000002000
       6 0.000000000
      12 0.000002000
      18 0.000000000
      24 0.000002000
      30 0.000014000
      36 0.000010000
      42 0.000024000
      48 0.000038000
      54 0.000030000
      60 0.000044000
      66 0.000022000
      72 0.000018000
      78 0.000008000
      84 0.000002000
      90 0.000002000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000002000
     144 0.000000000
     150 0.000004000
     156 0.000002000
     162 0.000028000
     168 0.000098000
     174 0.000310000
