#GLN2-6   Hist_00024
    -180 0.203390000
    -174 0.155908000
    -168 0.090884000
    -162 0.040736000
    -156 0.013694000
    -150 0.003784000
    -144 0.000842000
    -138 0.000122000
    -132 0.000030000
    -126 0.000002000
    -120 0.000002000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000008000
     126 0.000026000
     132 0.000114000
     138 0.000716000
     144 0.003368000
     150 0.012788000
     156 0.037128000
     162 0.084812000
     168 0.150814000
     174 0.200832000
