#ASP25-0  Hist_00264
    -180 0.000014000
    -174 0.000144000
    -168 0.000956000
    -162 0.004326000
    -156 0.014712000
    -150 0.036672000
    -144 0.064612000
    -138 0.092302000
    -132 0.109920000
    -126 0.117664000
    -120 0.115630000
    -114 0.103772000
    -108 0.089652000
    -102 0.073246000
     -96 0.057870000
     -90 0.045256000
     -84 0.033754000
     -78 0.022460000
     -72 0.011516000
     -66 0.004296000
     -60 0.000984000
     -54 0.000214000
     -48 0.000028000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
