#GLY51-1  Hist_00538
    -180 0.000748000
    -174 0.000828000
    -168 0.001256000
    -162 0.001990000
    -156 0.003028000
    -150 0.004366000
    -144 0.005034000
    -138 0.005432000
    -132 0.005340000
    -126 0.004786000
    -120 0.004192000
    -114 0.003330000
    -108 0.002600000
    -102 0.002016000
     -96 0.001672000
     -90 0.001388000
     -84 0.001468000
     -78 0.001652000
     -72 0.002364000
     -66 0.003428000
     -60 0.005768000
     -54 0.008810000
     -48 0.013826000
     -42 0.021218000
     -36 0.030432000
     -30 0.042086000
     -24 0.056374000
     -18 0.073090000
     -12 0.091506000
      -6 0.104470000
       0 0.111058000
       6 0.105406000
      12 0.087662000
      18 0.063328000
      24 0.041592000
      30 0.025580000
      36 0.015036000
      42 0.008832000
      48 0.005336000
      54 0.003448000
      60 0.002134000
      66 0.001506000
      72 0.001016000
      78 0.000788000
      84 0.000686000
      90 0.000656000
      96 0.000646000
     102 0.000704000
     108 0.000886000
     114 0.001066000
     120 0.001432000
     126 0.001572000
     132 0.002162000
     138 0.002364000
     144 0.002540000
     150 0.002458000
     156 0.002124000
     162 0.001516000
     168 0.001162000
     174 0.000806000
