#MET145-5  Hist_01540
     -180 0.011816000
     -174 0.011288000
     -168 0.009540000
     -162 0.007236000
     -156 0.005282000
     -150 0.003800000
     -144 0.002656000
     -138 0.002114000
     -132 0.001898000
     -126 0.001976000
     -120 0.002360000
     -114 0.003530000
     -108 0.005738000
     -102 0.010096000
      -96 0.018682000
      -90 0.033206000
      -84 0.051828000
      -78 0.066948000
      -72 0.068202000
      -66 0.055370000
      -60 0.035680000
      -54 0.018538000
      -48 0.008034000
      -42 0.002872000
      -36 0.000946000
      -30 0.000326000
      -24 0.000108000
      -18 0.000044000
      -12 0.000036000
       -6 0.000006000
        0 0.000020000
        6 0.000046000
       12 0.000052000
       18 0.000120000
       24 0.000340000
       30 0.001038000
       36 0.003318000
       42 0.009314000
       48 0.021238000
       54 0.043048000
       60 0.069582000
       66 0.090116000
       72 0.092784000
       78 0.073724000
       84 0.048240000
       90 0.026546000
       96 0.014376000
      102 0.008142000
      108 0.004670000
      114 0.003282000
      120 0.002560000
      126 0.002492000
      132 0.002396000
      138 0.002748000
      144 0.003312000
      150 0.004022000
      156 0.005374000
      162 0.007194000
      168 0.008898000
      174 0.010852000
