#MET46-5  Hist_00502
    -180 0.014190000
    -174 0.013690000
    -168 0.011842000
    -162 0.009170000
    -156 0.006600000
    -150 0.004364000
    -144 0.003296000
    -138 0.002638000
    -132 0.002228000
    -126 0.002272000
    -120 0.002734000
    -114 0.003922000
    -108 0.005902000
    -102 0.010786000
     -96 0.019664000
     -90 0.035256000
     -84 0.056158000
     -78 0.073148000
     -72 0.077366000
     -66 0.064880000
     -60 0.042170000
     -54 0.021730000
     -48 0.009068000
     -42 0.003240000
     -36 0.001080000
     -30 0.000354000
     -24 0.000114000
     -18 0.000072000
     -12 0.000014000
      -6 0.000022000
       0 0.000010000
       6 0.000030000
      12 0.000034000
      18 0.000124000
      24 0.000294000
      30 0.001106000
      36 0.002920000
      42 0.007824000
      48 0.018676000
      54 0.038052000
      60 0.062190000
      66 0.080532000
      72 0.082052000
      78 0.064864000
      84 0.041830000
      90 0.023436000
      96 0.012034000
     102 0.006592000
     108 0.003880000
     114 0.002754000
     120 0.002360000
     126 0.002076000
     132 0.002214000
     138 0.002400000
     144 0.003182000
     150 0.004012000
     156 0.005500000
     162 0.007842000
     168 0.010340000
     174 0.012870000
