#MET135-3  Hist_01414
     -180 0.043368000
     -174 0.038138000
     -168 0.025198000
     -162 0.013278000
     -156 0.005600000
     -150 0.002088000
     -144 0.000796000
     -138 0.000320000
     -132 0.000168000
     -126 0.000084000
     -120 0.000088000
     -114 0.000118000
     -108 0.000278000
     -102 0.000680000
      -96 0.002014000
      -90 0.005382000
      -84 0.012134000
      -78 0.021696000
      -72 0.027350000
      -66 0.025888000
      -60 0.017872000
      -54 0.008932000
      -48 0.003724000
      -42 0.001184000
      -36 0.000354000
      -30 0.000114000
      -24 0.000016000
      -18 0.000016000
      -12 0.000008000
       -6 0.000002000
        0 0.000008000
        6 0.000012000
       12 0.000008000
       18 0.000030000
       24 0.000122000
       30 0.000562000
       36 0.002794000
       42 0.010826000
       48 0.036456000
       54 0.088404000
       60 0.146542000
       66 0.161410000
       72 0.118166000
       78 0.061658000
       84 0.024436000
       90 0.008018000
       96 0.002414000
      102 0.000732000
      108 0.000246000
      114 0.000100000
      120 0.000088000
      126 0.000082000
      132 0.000126000
      138 0.000280000
      144 0.000574000
      150 0.001732000
      156 0.004702000
      162 0.011748000
      168 0.023442000
      174 0.037394000
