#GLN2-4   Hist_00020
    -180 0.101328000
    -174 0.080310000
    -168 0.058856000
    -162 0.037404000
    -156 0.021452000
    -150 0.011122000
    -144 0.005500000
    -138 0.002962000
    -132 0.002060000
    -126 0.001920000
    -120 0.002462000
    -114 0.003678000
    -108 0.005490000
    -102 0.007070000
     -96 0.008114000
     -90 0.009574000
     -84 0.011456000
     -78 0.013692000
     -72 0.014920000
     -66 0.013314000
     -60 0.009100000
     -54 0.005000000
     -48 0.002298000
     -42 0.000982000
     -36 0.000380000
     -30 0.000150000
     -24 0.000038000
     -18 0.000014000
     -12 0.000010000
      -6 0.000000000
       0 0.000000000
       6 0.000002000
      12 0.000002000
      18 0.000008000
      24 0.000008000
      30 0.000024000
      36 0.000086000
      42 0.000164000
      48 0.000522000
      54 0.001268000
      60 0.002992000
      66 0.006626000
      72 0.011322000
      78 0.015012000
      84 0.015062000
      90 0.011802000
      96 0.007492000
     102 0.004192000
     108 0.002472000
     114 0.001886000
     120 0.001814000
     126 0.002538000
     132 0.004820000
     138 0.009936000
     144 0.021966000
     150 0.042554000
     156 0.072236000
     162 0.100176000
     168 0.116800000
     174 0.115562000
