#ALA121-0  Hist_01274
     -180 0.001202000
     -174 0.011688000
     -168 0.056652000
     -162 0.153016000
     -156 0.240418000
     -150 0.235298000
     -144 0.156564000
     -138 0.080346000
     -132 0.034226000
     -126 0.015128000
     -120 0.006732000
     -114 0.003566000
     -108 0.002064000
     -102 0.001260000
      -96 0.000804000
      -90 0.000512000
      -84 0.000240000
      -78 0.000160000
      -72 0.000052000
      -66 0.000012000
      -60 0.000004000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000056000
