#ARG8-5   Hist_00090
    -180 0.166644000
    -174 0.107518000
    -168 0.052626000
    -162 0.020366000
    -156 0.006750000
    -150 0.002054000
    -144 0.000652000
    -138 0.000238000
    -132 0.000118000
    -126 0.000104000
    -120 0.000124000
    -114 0.000316000
    -108 0.000476000
    -102 0.001182000
     -96 0.002296000
     -90 0.003996000
     -84 0.006448000
     -78 0.009168000
     -72 0.010274000
     -66 0.009550000
     -60 0.006640000
     -54 0.003578000
     -48 0.001478000
     -42 0.000516000
     -36 0.000184000
     -30 0.000048000
     -24 0.000020000
     -18 0.000010000
     -12 0.000008000
      -6 0.000000000
       0 0.000004000
       6 0.000012000
      12 0.000012000
      18 0.000062000
      24 0.000158000
      30 0.000418000
      36 0.001226000
      42 0.002682000
      48 0.005196000
      54 0.008232000
      60 0.009522000
      66 0.008650000
      72 0.005856000
      78 0.003092000
      84 0.001454000
      90 0.000732000
      96 0.000416000
     102 0.000226000
     108 0.000168000
     114 0.000192000
     120 0.000290000
     126 0.000466000
     132 0.001136000
     138 0.003032000
     144 0.008514000
     150 0.021528000
     156 0.051364000
     162 0.101828000
     168 0.159736000
     174 0.190414000
