#THR4-3   Hist_00042
    -180 0.006660000
    -174 0.005854000
    -168 0.003998000
    -162 0.002272000
    -156 0.000978000
    -150 0.000378000
    -144 0.000112000
    -138 0.000058000
    -132 0.000018000
    -126 0.000020000
    -120 0.000016000
    -114 0.000034000
    -108 0.000092000
    -102 0.000330000
     -96 0.001632000
     -90 0.007578000
     -84 0.027332000
     -78 0.074174000
     -72 0.144578000
     -66 0.197286000
     -60 0.187584000
     -54 0.120138000
     -48 0.051834000
     -42 0.015286000
     -36 0.003550000
     -30 0.000720000
     -24 0.000162000
     -18 0.000042000
     -12 0.000006000
      -6 0.000004000
       0 0.000000000
       6 0.000002000
      12 0.000008000
      18 0.000010000
      24 0.000036000
      30 0.000178000
      36 0.000640000
      42 0.002136000
      48 0.006530000
      54 0.014936000
      60 0.026896000
      66 0.033984000
      72 0.028022000
      78 0.014576000
      84 0.004786000
      90 0.001042000
      96 0.000198000
     102 0.000030000
     108 0.000004000
     114 0.000002000
     120 0.000002000
     126 0.000002000
     132 0.000002000
     138 0.000012000
     144 0.000068000
     150 0.000278000
     156 0.000878000
     162 0.002112000
     168 0.004054000
     174 0.005850000
