#MET46-3  Hist_00498
    -180 0.106322000
    -174 0.092896000
    -168 0.058926000
    -162 0.029088000
    -156 0.011734000
    -150 0.004244000
    -144 0.001648000
    -138 0.000676000
    -132 0.000366000
    -126 0.000336000
    -120 0.000348000
    -114 0.000514000
    -108 0.001110000
    -102 0.002462000
     -96 0.005990000
     -90 0.013926000
     -84 0.027850000
     -78 0.047334000
     -72 0.067110000
     -66 0.081454000
     -60 0.077452000
     -54 0.053222000
     -48 0.026038000
     -42 0.010152000
     -36 0.003234000
     -30 0.000848000
     -24 0.000320000
     -18 0.000064000
     -12 0.000032000
      -6 0.000014000
       0 0.000012000
       6 0.000006000
      12 0.000004000
      18 0.000022000
      24 0.000070000
      30 0.000226000
      36 0.000882000
      42 0.002734000
      48 0.006918000
      54 0.012932000
      60 0.018128000
      66 0.019024000
      72 0.014426000
      78 0.008036000
      84 0.003596000
      90 0.001358000
      96 0.000438000
     102 0.000158000
     108 0.000058000
     114 0.000038000
     120 0.000022000
     126 0.000046000
     132 0.000068000
     138 0.000276000
     144 0.000898000
     150 0.003064000
     156 0.009724000
     162 0.026382000
     168 0.055370000
     174 0.089374000
