#GLY49-2  Hist_00524
    -180 0.205048000
    -174 0.142006000
    -168 0.081268000
    -162 0.041264000
    -156 0.017916000
    -150 0.005556000
    -144 0.001208000
    -138 0.000154000
    -132 0.000018000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000006000
     132 0.000052000
     138 0.000404000
     144 0.002236000
     150 0.009478000
     156 0.032656000
     162 0.084224000
     168 0.160156000
     174 0.216350000
