#GLN7-4   Hist_00074
    -180 0.048318000
    -174 0.046162000
    -168 0.037176000
    -162 0.025988000
    -156 0.015690000
    -150 0.009120000
    -144 0.004708000
    -138 0.002510000
    -132 0.001548000
    -126 0.001198000
    -120 0.001208000
    -114 0.001696000
    -108 0.002748000
    -102 0.004992000
     -96 0.010244000
     -90 0.020616000
     -84 0.038988000
     -78 0.065826000
     -72 0.090232000
     -66 0.097082000
     -60 0.079818000
     -54 0.050018000
     -48 0.024432000
     -42 0.009944000
     -36 0.003416000
     -30 0.001050000
     -24 0.000424000
     -18 0.000134000
     -12 0.000044000
      -6 0.000030000
       0 0.000020000
       6 0.000032000
      12 0.000040000
      18 0.000062000
      24 0.000124000
      30 0.000422000
      36 0.001126000
      42 0.002886000
      48 0.005550000
      54 0.008660000
      60 0.012462000
      66 0.018116000
      72 0.026180000
      78 0.031816000
      84 0.028526000
      90 0.019166000
      96 0.010366000
     102 0.005500000
     108 0.002994000
     114 0.001822000
     120 0.001284000
     126 0.001380000
     132 0.001730000
     138 0.002662000
     144 0.004594000
     150 0.008174000
     156 0.013248000
     162 0.021630000
     168 0.031496000
     174 0.042572000
