#GLN2-3   Hist_00018
    -180 0.108674000
    -174 0.101880000
    -168 0.067840000
    -162 0.034572000
    -156 0.013548000
    -150 0.004974000
    -144 0.001836000
    -138 0.000860000
    -132 0.000408000
    -126 0.000220000
    -120 0.000168000
    -114 0.000230000
    -108 0.000516000
    -102 0.001428000
     -96 0.004138000
     -90 0.010966000
     -84 0.024006000
     -78 0.042174000
     -72 0.057036000
     -66 0.059170000
     -60 0.046562000
     -54 0.028674000
     -48 0.014254000
     -42 0.006066000
     -36 0.002462000
     -30 0.000834000
     -24 0.000246000
     -18 0.000096000
     -12 0.000046000
      -6 0.000018000
       0 0.000012000
       6 0.000008000
      12 0.000018000
      18 0.000050000
      24 0.000152000
      30 0.000418000
      36 0.001656000
      42 0.004892000
      48 0.012138000
      54 0.024398000
      60 0.037860000
      66 0.046538000
      72 0.041146000
      78 0.027120000
      84 0.013790000
      90 0.005408000
      96 0.001756000
     102 0.000546000
     108 0.000178000
     114 0.000074000
     120 0.000040000
     126 0.000018000
     132 0.000040000
     138 0.000132000
     144 0.000328000
     150 0.001404000
     156 0.004998000
     162 0.016906000
     168 0.043212000
     174 0.080862000
