#ALA71-0  Hist_00752
    -180 0.002008000
    -174 0.013884000
    -168 0.055710000
    -162 0.138392000
    -156 0.214048000
    -150 0.222756000
    -144 0.165172000
    -138 0.094788000
    -132 0.046550000
    -126 0.021472000
    -120 0.009928000
    -114 0.005120000
    -108 0.003050000
    -102 0.001924000
     -96 0.001460000
     -90 0.001182000
     -84 0.000904000
     -78 0.000610000
     -72 0.000484000
     -66 0.000226000
     -60 0.000098000
     -54 0.000022000
     -48 0.000004000
     -42 0.000004000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000016000
     174 0.000188000
