#ARG8-3   Hist_00086
    -180 0.019632000
    -174 0.014062000
    -168 0.007752000
    -162 0.004268000
    -156 0.002196000
    -150 0.000980000
    -144 0.000580000
    -138 0.000276000
    -132 0.000150000
    -126 0.000142000
    -120 0.000236000
    -114 0.000482000
    -108 0.001612000
    -102 0.005256000
     -96 0.016842000
     -90 0.045510000
     -84 0.096702000
     -78 0.161902000
     -72 0.199522000
     -66 0.177674000
     -60 0.113490000
     -54 0.054570000
     -48 0.020950000
     -42 0.006446000
     -36 0.001886000
     -30 0.000462000
     -24 0.000126000
     -18 0.000038000
     -12 0.000026000
      -6 0.000010000
       0 0.000004000
       6 0.000006000
      12 0.000010000
      18 0.000018000
      24 0.000074000
      30 0.000190000
      36 0.000448000
      42 0.000976000
      48 0.001798000
      54 0.002366000
      60 0.002354000
      66 0.001464000
      72 0.000656000
      78 0.000302000
      84 0.000050000
      90 0.000024000
      96 0.000020000
     102 0.000002000
     108 0.000002000
     114 0.000000000
     120 0.000000000
     126 0.000008000
     132 0.000002000
     138 0.000008000
     144 0.000058000
     150 0.000250000
     156 0.001154000
     162 0.004360000
     168 0.011022000
     174 0.018594000
