#LYS154-6  Hist_01618
     -180 0.145076000
     -174 0.113930000
     -168 0.071702000
     -162 0.039144000
     -156 0.017868000
     -150 0.007706000
     -144 0.003504000
     -138 0.001654000
     -132 0.001110000
     -126 0.000768000
     -120 0.000826000
     -114 0.001002000
     -108 0.001486000
     -102 0.002450000
      -96 0.004402000
      -90 0.007320000
      -84 0.010892000
      -78 0.014038000
      -72 0.014984000
      -66 0.012688000
      -60 0.008640000
      -54 0.004750000
      -48 0.001964000
      -42 0.000714000
      -36 0.000236000
      -30 0.000078000
      -24 0.000016000
      -18 0.000004000
      -12 0.000004000
       -6 0.000004000
        0 0.000000000
        6 0.000008000
       12 0.000010000
       18 0.000028000
       24 0.000062000
       30 0.000244000
       36 0.000786000
       42 0.002266000
       48 0.005120000
       54 0.010416000
       60 0.016598000
       66 0.019674000
       72 0.018216000
       78 0.013798000
       84 0.009000000
       90 0.004962000
       96 0.002718000
      102 0.001412000
      108 0.001026000
      114 0.000816000
      120 0.000878000
      126 0.001064000
      132 0.001826000
      138 0.003612000
      144 0.008142000
      150 0.018366000
      156 0.038336000
      162 0.072558000
      168 0.114586000
      174 0.144512000
