#ALA170-0  Hist_01790
     -180 0.002774000
     -174 0.017218000
     -168 0.063028000
     -162 0.147806000
     -156 0.218626000
     -150 0.215366000
     -144 0.156032000
     -138 0.089098000
     -132 0.043982000
     -126 0.020012000
     -120 0.009632000
     -114 0.004970000
     -108 0.002946000
     -102 0.002080000
      -96 0.001506000
      -90 0.001216000
      -84 0.001190000
      -78 0.000910000
      -72 0.000650000
      -66 0.000368000
      -60 0.000196000
      -54 0.000078000
      -48 0.000014000
      -42 0.000004000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000020000
      174 0.000278000
