#HID69-0  Hist_00726
    -180 0.000000000
    -174 0.000006000
    -168 0.000096000
    -162 0.000550000
    -156 0.002012000
    -150 0.006024000
    -144 0.013324000
    -138 0.023902000
    -132 0.033714000
    -126 0.042162000
    -120 0.049972000
    -114 0.058700000
    -108 0.072386000
    -102 0.091648000
     -96 0.113886000
     -90 0.133456000
     -84 0.134044000
     -78 0.110296000
     -72 0.069534000
     -66 0.031636000
     -60 0.009968000
     -54 0.002268000
     -48 0.000378000
     -42 0.000036000
     -36 0.000002000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
