#TRP141-0  Hist_01476
     -180 0.001152000
     -174 0.008174000
     -168 0.033220000
     -162 0.084372000
     -156 0.138586000
     -150 0.157984000
     -144 0.136284000
     -138 0.098906000
     -132 0.065264000
     -126 0.041514000
     -120 0.028550000
     -114 0.021688000
     -108 0.018072000
     -102 0.017436000
      -96 0.018558000
      -90 0.021178000
      -84 0.023828000
      -78 0.025860000
      -72 0.023548000
      -66 0.018114000
      -60 0.010668000
      -54 0.004824000
      -48 0.001578000
      -42 0.000432000
      -36 0.000118000
      -30 0.000012000
      -24 0.000002000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000004000
      174 0.000074000
