#ARG8-6   Hist_00092
    -180 0.081346000
    -174 0.072400000
    -168 0.058442000
    -162 0.042058000
    -156 0.026790000
    -150 0.015618000
    -144 0.008548000
    -138 0.004664000
    -132 0.002906000
    -126 0.001976000
    -120 0.001760000
    -114 0.001890000
    -108 0.002068000
    -102 0.002600000
     -96 0.002970000
     -90 0.003418000
     -84 0.003536000
     -78 0.003518000
     -72 0.003030000
     -66 0.002196000
     -60 0.001294000
     -54 0.000644000
     -48 0.000190000
     -42 0.000064000
     -36 0.000028000
     -30 0.000002000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000004000
      36 0.000008000
      42 0.000038000
      48 0.000188000
      54 0.000602000
      60 0.001454000
      66 0.003436000
      72 0.006780000
      78 0.011242000
      84 0.015990000
      90 0.021024000
      96 0.024068000
     102 0.025784000
     108 0.026452000
     114 0.026338000
     120 0.026002000
     126 0.027052000
     132 0.029246000
     138 0.033954000
     144 0.040366000
     150 0.049082000
     156 0.058226000
     162 0.069202000
     168 0.076896000
     174 0.082610000
