#TRP42-0  Hist_00438
    -180 0.000902000
    -174 0.006436000
    -168 0.027436000
    -162 0.072312000
    -156 0.125486000
    -150 0.151410000
    -144 0.139230000
    -138 0.107596000
    -132 0.074556000
    -126 0.049870000
    -120 0.035120000
    -114 0.026396000
    -108 0.022550000
    -102 0.021372000
     -96 0.021586000
     -90 0.023240000
     -84 0.024734000
     -78 0.023830000
     -72 0.020060000
     -66 0.013792000
     -60 0.007448000
     -54 0.003224000
     -48 0.001002000
     -42 0.000264000
     -36 0.000074000
     -30 0.000008000
     -24 0.000002000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000002000
     168 0.000002000
     174 0.000060000
