#GLY151-1  Hist_01582
     -180 0.103376000
     -174 0.118648000
     -168 0.123118000
     -162 0.112934000
     -156 0.093186000
     -150 0.069916000
     -144 0.048892000
     -138 0.031656000
     -132 0.018742000
     -126 0.009616000
     -120 0.004496000
     -114 0.001902000
     -108 0.000790000
     -102 0.000306000
      -96 0.000124000
      -90 0.000054000
      -84 0.000024000
      -78 0.000004000
      -72 0.000006000
      -66 0.000002000
      -60 0.000000000
      -54 0.000002000
      -48 0.000002000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000002000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000002000
       66 0.000004000
       72 0.000002000
       78 0.000004000
       84 0.000006000
       90 0.000020000
       96 0.000036000
      102 0.000116000
      108 0.000210000
      114 0.000490000
      120 0.001040000
      126 0.002160000
      132 0.004142000
      138 0.007484000
      144 0.012434000
      150 0.019910000
      156 0.029720000
      162 0.042572000
      168 0.060844000
      174 0.081006000
