#MET36-5  Hist_00380
    -180 0.038150000
    -174 0.033846000
    -168 0.026076000
    -162 0.017302000
    -156 0.010848000
    -150 0.006424000
    -144 0.004160000
    -138 0.002874000
    -132 0.002026000
    -126 0.001748000
    -120 0.001682000
    -114 0.002246000
    -108 0.003536000
    -102 0.006834000
     -96 0.014414000
     -90 0.030112000
     -84 0.055378000
     -78 0.083128000
     -72 0.097828000
     -66 0.086950000
     -60 0.058694000
     -54 0.030670000
     -48 0.013198000
     -42 0.004802000
     -36 0.001370000
     -30 0.000458000
     -24 0.000172000
     -18 0.000054000
     -12 0.000042000
      -6 0.000010000
       0 0.000010000
       6 0.000024000
      12 0.000028000
      18 0.000084000
      24 0.000222000
      30 0.000490000
      36 0.001384000
      42 0.003980000
      48 0.009440000
      54 0.020094000
      60 0.035038000
      66 0.046866000
      72 0.048184000
      78 0.037410000
      84 0.022678000
      90 0.012264000
      96 0.006298000
     102 0.003458000
     108 0.002156000
     114 0.001502000
     120 0.001390000
     126 0.001454000
     132 0.001802000
     138 0.002594000
     144 0.004106000
     150 0.006854000
     156 0.012018000
     162 0.019272000
     168 0.028356000
     174 0.035512000
