#GLN7-5   Hist_00076
    -180 0.050610000
    -174 0.046300000
    -168 0.041608000
    -162 0.037186000
    -156 0.032342000
    -150 0.027920000
    -144 0.023974000
    -138 0.020068000
    -132 0.016792000
    -126 0.013364000
    -120 0.010938000
    -114 0.009340000
    -108 0.008470000
    -102 0.008206000
     -96 0.008632000
     -90 0.009658000
     -84 0.010368000
     -78 0.010484000
     -72 0.009978000
     -66 0.008872000
     -60 0.007396000
     -54 0.006194000
     -48 0.005064000
     -42 0.003908000
     -36 0.003098000
     -30 0.002472000
     -24 0.001970000
     -18 0.001564000
     -12 0.001426000
      -6 0.001230000
       0 0.001286000
       6 0.001318000
      12 0.001450000
      18 0.001676000
      24 0.001962000
      30 0.002316000
      36 0.003278000
      42 0.004332000
      48 0.005638000
      54 0.006784000
      60 0.008206000
      66 0.008634000
      72 0.008612000
      78 0.008992000
      84 0.008642000
      90 0.008690000
      96 0.008842000
     102 0.009752000
     108 0.011376000
     114 0.013938000
     120 0.018392000
     126 0.023490000
     132 0.030444000
     138 0.038048000
     144 0.045464000
     150 0.052442000
     156 0.056488000
     162 0.058326000
     168 0.057378000
     174 0.054372000
