#MET135-5  Hist_01418
     -180 0.021434000
     -174 0.019142000
     -168 0.014866000
     -162 0.010174000
     -156 0.006600000
     -150 0.004082000
     -144 0.002618000
     -138 0.001620000
     -132 0.001170000
     -126 0.000930000
     -120 0.001076000
     -114 0.001516000
     -108 0.002588000
     -102 0.005350000
      -96 0.011692000
      -90 0.027634000
      -84 0.054500000
      -78 0.088274000
      -72 0.109278000
      -66 0.104264000
      -60 0.074086000
      -54 0.041242000
      -48 0.018154000
      -42 0.006708000
      -36 0.002250000
      -30 0.000646000
      -24 0.000236000
      -18 0.000070000
      -12 0.000066000
       -6 0.000038000
        0 0.000026000
        6 0.000040000
       12 0.000062000
       18 0.000098000
       24 0.000246000
       30 0.000648000
       36 0.001726000
       42 0.004720000
       48 0.011488000
       54 0.024046000
       60 0.041446000
       66 0.056018000
       72 0.055968000
       78 0.042674000
       84 0.025548000
       90 0.012884000
       96 0.006468000
      102 0.003388000
      108 0.002090000
      114 0.001346000
      120 0.001398000
      126 0.001556000
      132 0.001888000
      138 0.002578000
      144 0.004046000
      150 0.005912000
      156 0.009058000
      162 0.012740000
      168 0.016956000
      174 0.020634000
