#ALA22-0  Hist_00236
    -180 0.000902000
    -174 0.008918000
    -168 0.047102000
    -162 0.138526000
    -156 0.233670000
    -150 0.244128000
    -144 0.172992000
    -138 0.089920000
    -132 0.038084000
    -126 0.014916000
    -120 0.005804000
    -114 0.002542000
    -108 0.001080000
    -102 0.000618000
     -96 0.000348000
     -90 0.000208000
     -84 0.000112000
     -78 0.000054000
     -72 0.000010000
     -66 0.000006000
     -60 0.000004000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000004000
     174 0.000052000
