#PHE198-3  Hist_02072
     -180 0.024332000
     -174 0.014632000
     -168 0.007660000
     -162 0.003686000
     -156 0.001438000
     -150 0.000698000
     -144 0.000264000
     -138 0.000174000
     -132 0.000116000
     -126 0.000140000
     -120 0.000162000
     -114 0.000356000
     -108 0.000768000
     -102 0.002020000
      -96 0.004956000
      -90 0.012854000
      -84 0.029436000
      -78 0.056300000
      -72 0.086432000
      -66 0.101584000
      -60 0.084364000
      -54 0.050430000
      -48 0.021830000
      -42 0.007656000
      -36 0.002162000
      -30 0.000528000
      -24 0.000114000
      -18 0.000032000
      -12 0.000024000
       -6 0.000016000
        0 0.000008000
        6 0.000012000
       12 0.000026000
       18 0.000104000
       24 0.000448000
       30 0.001606000
       36 0.005450000
       42 0.015296000
       48 0.035570000
       54 0.064942000
       60 0.090130000
       66 0.087762000
       72 0.059426000
       78 0.027324000
       84 0.008952000
       90 0.002266000
       96 0.000534000
      102 0.000120000
      108 0.000046000
      114 0.000020000
      120 0.000010000
      126 0.000032000
      132 0.000062000
      138 0.000200000
      144 0.000676000
      150 0.002510000
      156 0.007520000
      162 0.017164000
      168 0.026518000
      174 0.030102000
