#LYS41-7  Hist_00436
    -180 0.054210000
    -174 0.044526000
    -168 0.030424000
    -162 0.018000000
    -156 0.009482000
    -150 0.004740000
    -144 0.002244000
    -138 0.001308000
    -132 0.000688000
    -126 0.000632000
    -120 0.000598000
    -114 0.000758000
    -108 0.001316000
    -102 0.002506000
     -96 0.004966000
     -90 0.010038000
     -84 0.018672000
     -78 0.031430000
     -72 0.045698000
     -66 0.054174000
     -60 0.053638000
     -54 0.043984000
     -48 0.029552000
     -42 0.017396000
     -36 0.009398000
     -30 0.004470000
     -24 0.002268000
     -18 0.001214000
     -12 0.000798000
      -6 0.000622000
       0 0.000538000
       6 0.000812000
      12 0.001170000
      18 0.002324000
      24 0.004556000
      30 0.009472000
      36 0.017616000
      42 0.030108000
      48 0.044216000
      54 0.053378000
      60 0.054044000
      66 0.045046000
      72 0.031654000
      78 0.018424000
      84 0.010036000
      90 0.004936000
      96 0.002478000
     102 0.001290000
     108 0.000784000
     114 0.000680000
     120 0.000600000
     126 0.000814000
     132 0.001214000
     138 0.002220000
     144 0.004820000
     150 0.009488000
     156 0.018018000
     162 0.030508000
     168 0.045382000
     174 0.053624000
