#MET36-3  Hist_00376
    -180 0.075040000
    -174 0.069858000
    -168 0.046530000
    -162 0.023696000
    -156 0.009766000
    -150 0.003438000
    -144 0.001180000
    -138 0.000468000
    -132 0.000198000
    -126 0.000124000
    -120 0.000116000
    -114 0.000150000
    -108 0.000292000
    -102 0.000834000
     -96 0.002146000
     -90 0.005690000
     -84 0.012782000
     -78 0.021680000
     -72 0.027250000
     -66 0.024738000
     -60 0.016104000
     -54 0.007836000
     -48 0.003070000
     -42 0.000952000
     -36 0.000236000
     -30 0.000056000
     -24 0.000010000
     -18 0.000002000
     -12 0.000006000
      -6 0.000000000
       0 0.000006000
       6 0.000006000
      12 0.000008000
      18 0.000020000
      24 0.000144000
      30 0.000682000
      36 0.002566000
      42 0.011028000
      48 0.033782000
      54 0.075794000
      60 0.119220000
      66 0.124806000
      72 0.089016000
      78 0.044868000
      84 0.017576000
      90 0.005770000
      96 0.001734000
     102 0.000484000
     108 0.000164000
     114 0.000096000
     120 0.000054000
     126 0.000050000
     132 0.000094000
     138 0.000176000
     144 0.000582000
     150 0.001844000
     156 0.005448000
     162 0.015342000
     168 0.034766000
     174 0.059626000
