#ILE3-3   Hist_00032
    -180 0.003332000
    -174 0.003892000
    -168 0.002762000
    -162 0.001366000
    -156 0.000512000
    -150 0.000144000
    -144 0.000054000
    -138 0.000024000
    -132 0.000014000
    -126 0.000012000
    -120 0.000012000
    -114 0.000042000
    -108 0.000192000
    -102 0.001000000
     -96 0.004932000
     -90 0.018036000
     -84 0.052792000
     -78 0.116960000
     -72 0.185302000
     -66 0.209882000
     -60 0.176752000
     -54 0.114120000
     -48 0.059648000
     -42 0.026274000
     -36 0.010052000
     -30 0.003428000
     -24 0.001238000
     -18 0.000338000
     -12 0.000100000
      -6 0.000032000
       0 0.000014000
       6 0.000006000
      12 0.000006000
      18 0.000006000
      24 0.000010000
      30 0.000028000
      36 0.000072000
      42 0.000194000
      48 0.000412000
      54 0.000684000
      60 0.000874000
      66 0.000792000
      72 0.000438000
      78 0.000202000
      84 0.000054000
      90 0.000010000
      96 0.000008000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000002000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000006000
     150 0.000010000
     156 0.000064000
     162 0.000206000
     168 0.000744000
     174 0.001914000
