#GLN2-0   Hist_00012
    -180 0.000286000
    -174 0.002274000
    -168 0.010296000
    -162 0.028904000
    -156 0.053030000
    -150 0.069040000
    -144 0.070926000
    -138 0.060068000
    -132 0.045970000
    -126 0.035122000
    -120 0.029422000
    -114 0.027942000
    -108 0.032296000
    -102 0.040552000
     -96 0.056200000
     -90 0.075574000
     -84 0.091784000
     -78 0.095466000
     -72 0.080992000
     -66 0.052894000
     -60 0.026366000
     -54 0.009902000
     -48 0.002884000
     -42 0.000708000
     -36 0.000168000
     -30 0.000046000
     -24 0.000008000
     -18 0.000002000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000004000
      18 0.000006000
      24 0.000026000
      30 0.000056000
      36 0.000162000
      42 0.000188000
      48 0.000196000
      54 0.000124000
      60 0.000062000
      66 0.000018000
      72 0.000006000
      78 0.000004000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000002000
     174 0.000024000
