#LEU5-4   Hist_00054
    -180 0.203364000
    -174 0.091670000
    -168 0.025064000
    -162 0.004650000
    -156 0.000606000
    -150 0.000070000
    -144 0.000006000
    -138 0.000002000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000002000
     -90 0.000006000
     -84 0.000010000
     -78 0.000032000
     -72 0.000102000
     -66 0.000232000
     -60 0.000524000
     -54 0.000870000
     -48 0.000994000
     -42 0.000748000
     -36 0.000428000
     -30 0.000144000
     -24 0.000038000
     -18 0.000012000
     -12 0.000002000
      -6 0.000004000
       0 0.000000000
       6 0.000004000
      12 0.000004000
      18 0.000008000
      24 0.000024000
      30 0.000124000
      36 0.000354000
      42 0.000834000
      48 0.001642000
      54 0.002242000
      60 0.002094000
      66 0.001496000
      72 0.000850000
      78 0.000378000
      84 0.000182000
      90 0.000180000
      96 0.000156000
     102 0.000092000
     108 0.000070000
     114 0.000058000
     120 0.000070000
     126 0.000078000
     132 0.000234000
     138 0.000670000
     144 0.002720000
     150 0.011176000
     156 0.040450000
     162 0.113294000
     168 0.219460000
     174 0.271476000
