#PRO1-1   Hist_00002
    -180 0.043428000
    -174 0.023692000
    -168 0.012360000
    -162 0.005938000
    -156 0.002802000
    -150 0.001316000
    -144 0.000666000
    -138 0.000334000
    -132 0.000160000
    -126 0.000090000
    -120 0.000060000
    -114 0.000064000
    -108 0.000082000
    -102 0.000088000
     -96 0.000108000
     -90 0.000202000
     -84 0.000360000
     -78 0.000634000
     -72 0.001052000
     -66 0.001336000
     -60 0.001462000
     -54 0.001286000
     -48 0.000966000
     -42 0.000544000
     -36 0.000334000
     -30 0.000156000
     -24 0.000078000
     -18 0.000054000
     -12 0.000030000
      -6 0.000024000
       0 0.000034000
       6 0.000038000
      12 0.000058000
      18 0.000066000
      24 0.000150000
      30 0.000276000
      36 0.000472000
      42 0.000752000
      48 0.001158000
      54 0.001770000
      60 0.002228000
      66 0.002840000
      72 0.003556000
      78 0.004384000
      84 0.005402000
      90 0.006704000
      96 0.008034000
     102 0.010172000
     108 0.012404000
     114 0.015670000
     120 0.021626000
     126 0.029582000
     132 0.043752000
     138 0.064292000
     144 0.090184000
     150 0.119184000
     156 0.137534000
     162 0.134824000
     168 0.109344000
     174 0.073804000
