#GLY40-1  Hist_00418
    -180 0.133352000
    -174 0.131172000
    -168 0.115760000
    -162 0.090746000
    -156 0.063506000
    -150 0.041250000
    -144 0.025888000
    -138 0.014828000
    -132 0.008550000
    -126 0.004182000
    -120 0.001946000
    -114 0.000844000
    -108 0.000350000
    -102 0.000158000
     -96 0.000054000
     -90 0.000006000
     -84 0.000002000
     -78 0.000002000
     -72 0.000002000
     -66 0.000000000
     -60 0.000000000
     -54 0.000002000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000004000
     108 0.000008000
     114 0.000034000
     120 0.000100000
     126 0.000400000
     132 0.001292000
     138 0.004104000
     144 0.010256000
     150 0.022560000
     156 0.042990000
     162 0.069230000
     168 0.096642000
     174 0.119780000
