#PHE152-4  Hist_01594
     -180 0.000394000
     -174 0.000318000
     -168 0.000302000
     -162 0.000348000
     -156 0.000420000
     -150 0.000608000
     -144 0.000820000
     -138 0.001574000
     -132 0.003316000
     -126 0.007608000
     -120 0.016600000
     -114 0.033796000
     -108 0.056820000
     -102 0.076012000
      -96 0.080834000
      -90 0.068614000
      -84 0.047552000
      -78 0.027514000
      -72 0.014548000
      -66 0.007786000
      -60 0.004058000
      -54 0.002138000
      -48 0.001334000
      -42 0.000796000
      -36 0.000588000
      -30 0.000480000
      -24 0.000458000
      -18 0.000404000
      -12 0.000344000
       -6 0.000324000
        0 0.000302000
        6 0.000232000
       12 0.000292000
       18 0.000288000
       24 0.000336000
       30 0.000440000
       36 0.000598000
       42 0.001166000
       48 0.002374000
       54 0.005746000
       60 0.013962000
       66 0.031784000
       72 0.061446000
       78 0.090968000
       84 0.101918000
       90 0.088742000
       96 0.060954000
      102 0.036022000
      108 0.019584000
      114 0.010414000
      120 0.005698000
      126 0.003142000
      132 0.001922000
      138 0.001352000
      144 0.000972000
      150 0.000738000
      156 0.000604000
      162 0.000486000
      168 0.000412000
      174 0.000398000
