#MET36-4  Hist_00378
    -180 0.177996000
    -174 0.132034000
    -168 0.076544000
    -162 0.037934000
    -156 0.016034000
    -150 0.006562000
    -144 0.002544000
    -138 0.001118000
    -132 0.000468000
    -126 0.000286000
    -120 0.000180000
    -114 0.000218000
    -108 0.000222000
    -102 0.000304000
     -96 0.000426000
     -90 0.000592000
     -84 0.000810000
     -78 0.000974000
     -72 0.001178000
     -66 0.001062000
     -60 0.000858000
     -54 0.000592000
     -48 0.000252000
     -42 0.000096000
     -36 0.000024000
     -30 0.000006000
     -24 0.000006000
     -18 0.000000000
     -12 0.000000000
      -6 0.000002000
       0 0.000000000
       6 0.000002000
      12 0.000000000
      18 0.000008000
      24 0.000038000
      30 0.000150000
      36 0.000616000
      42 0.001810000
      48 0.004184000
      54 0.007654000
      60 0.010192000
      66 0.010132000
      72 0.007916000
      78 0.005464000
      84 0.003140000
      90 0.001858000
      96 0.001042000
     102 0.000602000
     108 0.000474000
     114 0.000360000
     120 0.000500000
     126 0.000812000
     132 0.001566000
     138 0.003752000
     144 0.008816000
     150 0.020126000
     156 0.044188000
     162 0.085720000
     168 0.139224000
     174 0.180332000
