#PHE152-3  Hist_01592
     -180 0.001298000
     -174 0.000956000
     -168 0.000596000
     -162 0.000332000
     -156 0.000110000
     -150 0.000098000
     -144 0.000044000
     -138 0.000066000
     -132 0.000122000
     -126 0.000260000
     -120 0.000552000
     -114 0.001160000
     -108 0.002500000
     -102 0.005542000
      -96 0.012806000
      -90 0.028226000
      -84 0.056922000
      -78 0.095560000
      -72 0.130362000
      -66 0.138212000
      -60 0.110586000
      -54 0.065874000
      -48 0.030828000
      -42 0.012296000
      -36 0.004280000
      -30 0.001676000
      -24 0.000644000
      -18 0.000256000
      -12 0.000110000
       -6 0.000078000
        0 0.000074000
        6 0.000072000
       12 0.000154000
       18 0.000396000
       24 0.001178000
       30 0.003882000
       36 0.010486000
       42 0.023840000
       48 0.039328000
       54 0.051496000
       60 0.054076000
       66 0.046354000
       72 0.031778000
       78 0.017626000
       84 0.008022000
       90 0.003296000
       96 0.001270000
      102 0.000536000
      108 0.000250000
      114 0.000128000
      120 0.000090000
      126 0.000050000
      132 0.000056000
      138 0.000056000
      144 0.000080000
      150 0.000118000
      156 0.000242000
      162 0.000556000
      168 0.000952000
      174 0.001206000
