#GLN2-5   Hist_00022
    -180 0.054670000
    -174 0.058882000
    -168 0.060622000
    -162 0.059324000
    -156 0.054466000
    -150 0.047116000
    -144 0.038220000
    -138 0.030586000
    -132 0.023610000
    -126 0.018070000
    -120 0.014400000
    -114 0.011912000
    -108 0.011176000
    -102 0.010946000
     -96 0.011040000
     -90 0.011916000
     -84 0.013098000
     -78 0.012914000
     -72 0.012674000
     -66 0.011046000
     -60 0.009132000
     -54 0.007214000
     -48 0.005434000
     -42 0.003916000
     -36 0.003074000
     -30 0.002414000
     -24 0.002026000
     -18 0.001712000
     -12 0.001472000
      -6 0.001414000
       0 0.001434000
       6 0.001374000
      12 0.001550000
      18 0.001562000
      24 0.001990000
      30 0.002630000
      36 0.003456000
      42 0.004914000
      48 0.006568000
      54 0.008530000
      60 0.010606000
      66 0.012510000
      72 0.013164000
      78 0.013644000
      84 0.013342000
      90 0.012338000
      96 0.011844000
     102 0.011308000
     108 0.010518000
     114 0.010562000
     120 0.010526000
     126 0.011126000
     132 0.012464000
     138 0.014570000
     144 0.018070000
     150 0.022304000
     156 0.027612000
     162 0.034722000
     168 0.041784000
     174 0.048482000
