#LYS41-0  Hist_00422
    -180 0.000006000
    -174 0.000064000
    -168 0.000314000
    -162 0.001062000
    -156 0.002356000
    -150 0.004452000
    -144 0.006788000
    -138 0.008790000
    -132 0.010354000
    -126 0.011918000
    -120 0.013636000
    -114 0.017080000
    -108 0.024414000
    -102 0.036696000
     -96 0.059274000
     -90 0.093740000
     -84 0.136328000
     -78 0.169716000
     -72 0.168496000
     -66 0.126628000
     -60 0.069266000
     -54 0.027846000
     -48 0.008506000
     -42 0.001838000
     -36 0.000372000
     -30 0.000038000
     -24 0.000012000
     -18 0.000002000
     -12 0.000002000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000006000
