#MET135-4  Hist_01416
     -180 0.190980000
     -174 0.136468000
     -168 0.075058000
     -162 0.034284000
     -156 0.013522000
     -150 0.005188000
     -144 0.001916000
     -138 0.000836000
     -132 0.000376000
     -126 0.000204000
     -120 0.000182000
     -114 0.000210000
     -108 0.000396000
     -102 0.000668000
      -96 0.001020000
      -90 0.001524000
      -84 0.001874000
      -78 0.002198000
      -72 0.001948000
      -66 0.001540000
      -60 0.001046000
      -54 0.000582000
      -48 0.000226000
      -42 0.000122000
      -36 0.000028000
      -30 0.000008000
      -24 0.000002000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000004000
       18 0.000012000
       24 0.000050000
       30 0.000224000
       36 0.000812000
       42 0.002288000
       48 0.005042000
       54 0.007054000
       60 0.007376000
       66 0.006076000
       72 0.004142000
       78 0.002608000
       84 0.001678000
       90 0.000976000
       96 0.000584000
      102 0.000312000
      108 0.000228000
      114 0.000186000
      120 0.000326000
      126 0.000500000
      132 0.001054000
      138 0.002644000
      144 0.006220000
      150 0.016064000
      156 0.038940000
      162 0.082706000
      168 0.144600000
      174 0.194888000
