#ALA28-0  Hist_00290
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000008000
    -144 0.000024000
    -138 0.000116000
    -132 0.000348000
    -126 0.000924000
    -120 0.002014000
    -114 0.005180000
    -108 0.012050000
    -102 0.027274000
     -96 0.055602000
     -90 0.100792000
     -84 0.151718000
     -78 0.182990000
     -72 0.178622000
     -66 0.137614000
     -60 0.084556000
     -54 0.040108000
     -48 0.014998000
     -42 0.004026000
     -36 0.000850000
     -30 0.000158000
     -24 0.000022000
     -18 0.000006000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
