#GLY147-1  Hist_01554
     -180 0.048052000
     -174 0.038278000
     -168 0.033878000
     -162 0.031556000
     -156 0.027782000
     -150 0.021118000
     -144 0.013256000
     -138 0.007090000
     -132 0.003156000
     -126 0.001302000
     -120 0.000584000
     -114 0.000204000
     -108 0.000070000
     -102 0.000012000
      -96 0.000006000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000004000
      -18 0.000002000
      -12 0.000010000
       -6 0.000042000
        0 0.000078000
        6 0.000166000
       12 0.000356000
       18 0.000458000
       24 0.000562000
       30 0.000686000
       36 0.001028000
       42 0.001460000
       48 0.002186000
       54 0.003020000
       60 0.003704000
       66 0.003826000
       72 0.003436000
       78 0.002944000
       84 0.002530000
       90 0.002378000
       96 0.002888000
      102 0.003804000
      108 0.005908000
      114 0.010112000
      120 0.016504000
      126 0.028076000
      132 0.045194000
      138 0.067270000
      144 0.089670000
      150 0.106746000
      156 0.111448000
      162 0.104514000
      168 0.086840000
      174 0.065806000
