#LYS169-3  Hist_01780
     -180 0.015664000
     -174 0.019504000
     -168 0.017464000
     -162 0.012194000
     -156 0.006642000
     -150 0.003152000
     -144 0.001314000
     -138 0.000622000
     -132 0.000356000
     -126 0.000220000
     -120 0.000244000
     -114 0.000490000
     -108 0.001244000
     -102 0.003604000
      -96 0.011000000
      -90 0.031062000
      -84 0.072858000
      -78 0.133128000
      -72 0.178828000
      -66 0.173812000
      -60 0.124238000
      -54 0.067342000
      -48 0.028540000
      -42 0.009564000
      -36 0.002856000
      -30 0.000714000
      -24 0.000204000
      -18 0.000062000
      -12 0.000012000
       -6 0.000012000
        0 0.000004000
        6 0.000006000
       12 0.000016000
       18 0.000034000
       24 0.000062000
       30 0.000214000
       36 0.000692000
       42 0.002076000
       48 0.004590000
       54 0.008586000
       60 0.013028000
       66 0.014614000
       72 0.011594000
       78 0.006812000
       84 0.003164000
       90 0.001148000
       96 0.000360000
      102 0.000082000
      108 0.000038000
      114 0.000020000
      120 0.000012000
      126 0.000014000
      132 0.000008000
      138 0.000014000
      144 0.000050000
      150 0.000112000
      156 0.000436000
      162 0.001542000
      168 0.004040000
      174 0.009686000
