#ASP197-3  Hist_02100
     -180 0.263252000
     -174 0.166774000
     -168 0.063580000
     -162 0.015214000
     -156 0.002546000
     -150 0.000332000
     -144 0.000068000
     -138 0.000012000
     -132 0.000006000
     -126 0.000002000
     -120 0.000004000
     -114 0.000006000
     -108 0.000014000
     -102 0.000014000
      -96 0.000102000
      -90 0.000362000
      -84 0.001008000
      -78 0.002488000
      -72 0.004346000
      -66 0.005708000
      -60 0.004616000
      -54 0.002724000
      -48 0.001144000
      -42 0.000350000
      -36 0.000108000
      -30 0.000028000
      -24 0.000014000
      -18 0.000002000
      -12 0.000002000
       -6 0.000002000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000002000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000002000
      126 0.000002000
      132 0.000012000
      138 0.000058000
      144 0.000404000
      150 0.002562000
      156 0.013648000
      162 0.053336000
      168 0.144630000
      174 0.250516000
