#TYR193-3  Hist_02056
     -180 0.034014000
     -174 0.018280000
     -168 0.022198000
     -162 0.021558000
     -156 0.014248000
     -150 0.006454000
     -144 0.001978000
     -138 0.000426000
     -132 0.000106000
     -126 0.000024000
     -120 0.000006000
     -114 0.000002000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000002000
       48 0.000004000
       54 0.000050000
       60 0.000134000
       66 0.000318000
       72 0.000480000
       78 0.000558000
       84 0.000470000
       90 0.000320000
       96 0.000228000
      102 0.000124000
      108 0.000074000
      114 0.000052000
      120 0.000022000
      126 0.000032000
      132 0.000114000
      138 0.000954000
      144 0.009286000
      150 0.053204000
      156 0.168604000
      162 0.282486000
      168 0.247984000
      174 0.115206000
