#VAL117-3  Hist_01220
     -180 0.124192000
     -174 0.042234000
     -168 0.010552000
     -162 0.001998000
     -156 0.000312000
     -150 0.000076000
     -144 0.000014000
     -138 0.000006000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000002000
     -108 0.000000000
     -102 0.000000000
      -96 0.000002000
      -90 0.000016000
      -84 0.000016000
      -78 0.000050000
      -72 0.000114000
      -66 0.000186000
      -60 0.000114000
      -54 0.000064000
      -48 0.000040000
      -42 0.000018000
      -36 0.000002000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000002000
       24 0.000002000
       30 0.000004000
       36 0.000036000
       42 0.000132000
       48 0.000468000
       54 0.001160000
       60 0.002022000
       66 0.002084000
       72 0.001224000
       78 0.000604000
       84 0.000202000
       90 0.000056000
       96 0.000028000
      102 0.000006000
      108 0.000014000
      114 0.000024000
      120 0.000024000
      126 0.000108000
      132 0.000422000
      138 0.001974000
      144 0.007966000
      150 0.029728000
      156 0.087214000
      162 0.186372000
      168 0.265116000
      174 0.233000000
