#ALA49-3  Hist_00504
    -180 0.069388000
    -174 0.055520000
    -168 0.033340000
    -162 0.016006000
    -156 0.006196000
    -150 0.002334000
    -144 0.000778000
    -138 0.000286000
    -132 0.000148000
    -126 0.000084000
    -120 0.000062000
    -114 0.000106000
    -108 0.000150000
    -102 0.000504000
     -96 0.001328000
     -90 0.004106000
     -84 0.011006000
     -78 0.024866000
     -72 0.044712000
     -66 0.061622000
     -60 0.065174000
     -54 0.051190000
     -48 0.030554000
     -42 0.014502000
     -36 0.005704000
     -30 0.001986000
     -24 0.000688000
     -18 0.000272000
     -12 0.000090000
      -6 0.000096000
       0 0.000080000
       6 0.000086000
      12 0.000186000
      18 0.000486000
      24 0.001454000
      30 0.004148000
      36 0.011556000
      42 0.026202000
      48 0.047254000
      54 0.065728000
      60 0.069354000
      66 0.055622000
      72 0.034236000
      78 0.016338000
      84 0.006744000
      90 0.002362000
      96 0.000760000
     102 0.000270000
     108 0.000116000
     114 0.000086000
     120 0.000068000
     126 0.000088000
     132 0.000194000
     138 0.000456000
     144 0.001282000
     150 0.003910000
     156 0.010866000
     162 0.025146000
     168 0.046718000
     174 0.065406000
