#LEU115-4  Hist_01202
     -180 0.115756000
     -174 0.085254000
     -168 0.041556000
     -162 0.014302000
     -156 0.003860000
     -150 0.000880000
     -144 0.000172000
     -138 0.000038000
     -132 0.000002000
     -126 0.000002000
     -120 0.000002000
     -114 0.000006000
     -108 0.000010000
     -102 0.000050000
      -96 0.000150000
      -90 0.000444000
      -84 0.001318000
      -78 0.002372000
      -72 0.003276000
      -66 0.003452000
      -60 0.002696000
      -54 0.001848000
      -48 0.001142000
      -42 0.000610000
      -36 0.000250000
      -30 0.000076000
      -24 0.000018000
      -18 0.000004000
      -12 0.000006000
       -6 0.000000000
        0 0.000006000
        6 0.000000000
       12 0.000008000
       18 0.000042000
       24 0.000178000
       30 0.000836000
       36 0.003940000
       42 0.015210000
       48 0.039920000
       54 0.070326000
       60 0.083628000
       66 0.071842000
       72 0.050410000
       78 0.030512000
       84 0.018212000
       90 0.010242000
       96 0.005592000
      102 0.002868000
      108 0.001688000
      114 0.001224000
      120 0.001346000
      126 0.002120000
      132 0.003950000
      138 0.007252000
      144 0.011424000
      150 0.017506000
      156 0.029004000
      162 0.049436000
      168 0.080106000
      174 0.111620000
