#ALA37-3  Hist_00384
    -180 0.064488000
    -174 0.053814000
    -168 0.034948000
    -162 0.018630000
    -156 0.008286000
    -150 0.003316000
    -144 0.001312000
    -138 0.000546000
    -132 0.000306000
    -126 0.000156000
    -120 0.000154000
    -114 0.000194000
    -108 0.000328000
    -102 0.000878000
     -96 0.002232000
     -90 0.005950000
     -84 0.013896000
     -78 0.027958000
     -72 0.046796000
     -66 0.062290000
     -60 0.063872000
     -54 0.052010000
     -48 0.032942000
     -42 0.016976000
     -36 0.007364000
     -30 0.002984000
     -24 0.001112000
     -18 0.000494000
     -12 0.000220000
      -6 0.000174000
       0 0.000148000
       6 0.000206000
      12 0.000354000
      18 0.000760000
      24 0.002042000
      30 0.005292000
      36 0.012420000
      42 0.024722000
      48 0.042216000
      54 0.057376000
      60 0.061512000
      66 0.051838000
      72 0.034706000
      78 0.018302000
      84 0.008470000
      90 0.003444000
      96 0.001230000
     102 0.000480000
     108 0.000204000
     114 0.000112000
     120 0.000116000
     126 0.000188000
     132 0.000330000
     138 0.000816000
     144 0.002026000
     150 0.005042000
     156 0.012076000
     162 0.025364000
     168 0.043912000
     174 0.059670000
