#VAL59-3  Hist_00610
    -180 0.119364000
    -174 0.091504000
    -168 0.053488000
    -162 0.023308000
    -156 0.007528000
    -150 0.001936000
    -144 0.000480000
    -138 0.000086000
    -132 0.000028000
    -126 0.000022000
    -120 0.000008000
    -114 0.000020000
    -108 0.000050000
    -102 0.000210000
     -96 0.000800000
     -90 0.003216000
     -84 0.009952000
     -78 0.022794000
     -72 0.036672000
     -66 0.040838000
     -60 0.031888000
     -54 0.017258000
     -48 0.006876000
     -42 0.002146000
     -36 0.000500000
     -30 0.000138000
     -24 0.000032000
     -18 0.000012000
     -12 0.000004000
      -6 0.000002000
       0 0.000000000
       6 0.000000000
      12 0.000006000
      18 0.000008000
      24 0.000066000
      30 0.000286000
      36 0.001490000
      42 0.005684000
      48 0.017496000
      54 0.037508000
      60 0.055618000
      66 0.055770000
      72 0.037120000
      78 0.017556000
      84 0.005902000
      90 0.001484000
      96 0.000322000
     102 0.000104000
     108 0.000020000
     114 0.000014000
     120 0.000016000
     126 0.000016000
     132 0.000070000
     138 0.000354000
     144 0.001618000
     150 0.006974000
     156 0.021922000
     162 0.052932000
     168 0.090086000
     174 0.118398000
