#ARG119-5  Hist_01242
     -180 0.112940000
     -174 0.082402000
     -168 0.047302000
     -162 0.020958000
     -156 0.008372000
     -150 0.003084000
     -144 0.001236000
     -138 0.000450000
     -132 0.000310000
     -126 0.000246000
     -120 0.000246000
     -114 0.000292000
     -108 0.000540000
     -102 0.001188000
      -96 0.002492000
      -90 0.005926000
      -84 0.011736000
      -78 0.020118000
      -72 0.026566000
      -66 0.026702000
      -60 0.020734000
      -54 0.011824000
      -48 0.005428000
      -42 0.001960000
      -36 0.000634000
      -30 0.000144000
      -24 0.000056000
      -18 0.000018000
      -12 0.000004000
       -6 0.000004000
        0 0.000002000
        6 0.000016000
       12 0.000044000
       18 0.000120000
       24 0.000590000
       30 0.002432000
       36 0.008554000
       42 0.022486000
       48 0.041430000
       54 0.053760000
       60 0.051106000
       66 0.038132000
       72 0.022536000
       78 0.011380000
       84 0.005134000
       90 0.002454000
       96 0.001044000
      102 0.000638000
      108 0.000396000
      114 0.000372000
      120 0.000366000
      126 0.000492000
      132 0.000838000
      138 0.001970000
      144 0.004936000
      150 0.012190000
      156 0.029042000
      162 0.058262000
      168 0.096158000
      174 0.119208000
