#TYR24-5  Hist_00252
    -180 0.002822000
    -174 0.001746000
    -168 0.001076000
    -162 0.000608000
    -156 0.000364000
    -150 0.000184000
    -144 0.000118000
    -138 0.000062000
    -132 0.000042000
    -126 0.000036000
    -120 0.000024000
    -114 0.000016000
    -108 0.000026000
    -102 0.000034000
     -96 0.000032000
     -90 0.000060000
     -84 0.000084000
     -78 0.000136000
     -72 0.000280000
     -66 0.000820000
     -60 0.001854000
     -54 0.004482000
     -48 0.009642000
     -42 0.018422000
     -36 0.032860000
     -30 0.052280000
     -24 0.073084000
     -18 0.094340000
     -12 0.108376000
      -6 0.116070000
       0 0.112950000
       6 0.100466000
      12 0.081608000
      18 0.060418000
      24 0.041846000
      30 0.025410000
      36 0.014322000
      42 0.007414000
      48 0.003442000
      54 0.001596000
      60 0.000636000
      66 0.000324000
      72 0.000178000
      78 0.000130000
      84 0.000076000
      90 0.000038000
      96 0.000046000
     102 0.000080000
     108 0.000108000
     114 0.000200000
     120 0.000372000
     126 0.000634000
     132 0.001118000
     138 0.001850000
     144 0.002760000
     150 0.003976000
     156 0.004716000
     162 0.004946000
     168 0.004632000
     174 0.003728000
