#ALA203-3  Hist_02162
     -180 0.068396000
     -174 0.060434000
     -168 0.040780000
     -162 0.021482000
     -156 0.009514000
     -150 0.003670000
     -144 0.001294000
     -138 0.000484000
     -132 0.000198000
     -126 0.000094000
     -120 0.000102000
     -114 0.000122000
     -108 0.000192000
     -102 0.000494000
      -96 0.001274000
      -90 0.003598000
      -84 0.009318000
      -78 0.021590000
      -72 0.040312000
      -66 0.059614000
      -60 0.067526000
      -54 0.058210000
      -48 0.038094000
      -42 0.019974000
      -36 0.008532000
      -30 0.003242000
      -24 0.001216000
      -18 0.000444000
      -12 0.000200000
       -6 0.000108000
        0 0.000124000
        6 0.000122000
       12 0.000236000
       18 0.000378000
       24 0.001064000
       30 0.003102000
       36 0.008334000
       42 0.019572000
       48 0.037294000
       54 0.056646000
       60 0.065570000
       66 0.058078000
       72 0.039780000
       78 0.022058000
       84 0.009686000
       90 0.003952000
       96 0.001352000
      102 0.000518000
      108 0.000232000
      114 0.000150000
      120 0.000094000
      126 0.000104000
      132 0.000218000
      138 0.000446000
      144 0.001094000
      150 0.003094000
      156 0.008458000
      162 0.020132000
      168 0.038916000
      174 0.058688000
